"kind","geom","name","cx_pt","cy_pt","w_pt","h_pt","rot","text"
"sp","ellipse","타원 498","462.47","371.79","22.68","22.68","180","C#3 4↓️"
"sp","ellipse","타원 499","485.77","328.24","22.68","22.68","180","C#5 →7"
"sp","ellipse","타원 500","485.77","371.79","22.68","22.68","180","C#6️ 6↘️"
"sp","ellipse","타원 501","475.6","350.09","22.68","22.68","180","C#4 →7"
"sp","ellipse","타원 502","451.95","350.09","22.68","22.68","180","C#1"
"sp","roundRect","사각형: 둥근 모서리 503","470.81","423.71","70.87","70.87","180",""
"sp","ellipse","타원 505","470.81","439.15","22.68","22.68","0","C#4 →7"
"sp","ellipse","타원 506","470.81","408.28","22.68","22.68","0","C#5 →7"
"sp","ellipse","타원 508","453.61","423.71","22.68","22.68","0","C#3 →7"
"sp","ellipse","타원 509","488.02","423.71","22.68","22.68","0","C#6 →7"
"sp","ellipse","타원 510","492.89","445.72","22.68","22.68","180","C#8 6↘️"
"sp","ellipse","타원 511","448.8","446.39","22.68","22.68","180","C#2"
"sp","ellipse","타원 512","492.89","401.01","22.68","22.68","180","C#7 →7"
"sp","ellipse","타원 513","448.8","401.68","22.68","22.68","180","C#1"
"sp","roundRect","사각형: 둥근 모서리 514","470.81","497.42","70.87","70.87","180",""
"sp","ellipse","타원 515","493.43","520.7","22.68","22.68","0","C#9  ️6↘️"
"sp","ellipse","타원 516","447.93","520.7","22.68","22.68","0","C#3 4↓️"
"sp","ellipse","타원 517","470.68","520.7","22.68","22.68","0","C#6 6↘️"
"sp","ellipse","타원 518","493.43","497.42","22.68","22.68","0","C#8 6↘️"
"sp","ellipse","타원 519","447.93","497.42","22.68","22.68","0","C#2 4↓️"
"sp","ellipse","타원 520","470.68","497.42","22.68","22.68","0","C#5 6↘️"
"sp","ellipse","타원 521","493.43","474.13","22.68","22.68","0","C#7 →7"
"sp","ellipse","타원 522","447.93","474.13","22.68","22.68","0","C#1"
"sp","ellipse","타원 523","470.68","474.13","22.68","22.68","0","C#4  ️ →7"
"sp","rect","직사각형 524","552.44","274.41","242.64","516.98","0",""
"sp","rect","TextBox 525","493.16","10.12","123.32","10.91","0","Palletizing Pattern (OP  출하 )"
"graphicFrame","","표 526","585.55","44.91","150.22","28.8","0","구분 순서 출고 (OP) 2 (p6)    1"
"sp","rect","TextBox 527","584.63","23.57","147.33","8.48","0","Pattern 2 (814 ~ 937)"
"graphicFrame","","표 528","585.55","119.68","150.22","28.8","0","구분 순서 출고 (OP) 2 (p6)    3 (p7)    1"
"sp","rect","TextBox 529","584.63","98.34","147.33","8.48","0","Pattern 3 (756 ~ 813)"
"graphicFrame","","표 530","585.55","193.95","150.22","28.8","0","구분 순서 출고 (OP) 4 (p6)    3 (p7)   2  (p4)   1"
"sp","rect","TextBox 531","584.63","172.61","147.33","8.48","0","Pattern 4 (663 ~ 755)"
"graphicFrame","","표 532","585.55","270.82","150.22","36","0","구분 순서 출고 (OP) 5 (p6)    4 (p7)    3 (p7)    2    1"
"sp","rect","TextBox 533","584.63","245.88","147.33","8.48","0","Pattern 5 (601 ~ 622)"
"graphicFrame","","표 534","585.55","344.59","150.22","36","0","구분 순서 출고 (OP) 6 (p6)    5 (p7)    4 (p7)    3 (p4)    2 (p7)    1"
"sp","rect","TextBox 535","584.63","319.65","147.33","8.48","0","Pattern 6 (546 ~ 600)"
"graphicFrame","","표 536","585.55","421.46","150.22","43.2","0","구분 순서 출고 (OP) 8  (p6)   7  (p7)   6  (p7)   4  (p7)   5  (p7)   3  (p7) )   2   1"
"sp","rect","TextBox 537","584.63","392.92","147.33","8.48","0","Pattern 8 (521 ~ 545)"
"graphicFrame","","표 538","585.55","494.73","150.22","43.2","0","구분 순서 출고 (OP) 9 (p6)   8  (p6)   7  (p7)   6  (p6)   5  (p6)   4  (p7)   3  (p4)   2  (p4)   1"
"sp","rect","TextBox 539","584.63","466.19","147.33","8.48","0","Pattern 9 (~520)"
"sp","rect","직사각형 540","553.37","269.84","247.8","532.1","0",""
"sp","rect","TextBox 541","196.29","310.22","48.85","10.91","0","Drag-in Dir"
"graphicFrame","","표 129","200.86","345.47","57.09","51.44","0","3↘️ 5↓️ ↙️8 2→ ←️7 1↗️ 4↑ 6↖️"
"sp","rect","TextBox 543","284.79","310.44","56.93","10.91","0","Drag-Out Dir"
"graphicFrame","","표 129","285.32","345.7","57.09","51.44","0","3↖️ 5↑️ ↗️8 2←️ →7 1↙️ 4↓️ ↘️6"
"sp","rect","직사각형 545","200.71","345.81","67.34","83.46","0",""
"sp","rect","TextBox 546","218.95","375.85","20.45","8.48","0","@Pick"
"sp","rect","TextBox 547","301.93","375.7","23.86","8.48","0","@Drop"
"sp","rect","직사각형 550","284.79","346.48","64.92","83.29","0",""
"sp","plus","십자형 551","284.79","346.12","56.11","56.11","45",""
"sp","rect","TextBox 553","188.94","111.66","41.55","13.33","0","zero point"
"sp","halfFrame","1/2 액자 554","178.25","111.08","4.67","4.67","0",""
